age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_lc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
64,male,1.4181675894739756e-4,1.9532712366305635e-4,1.433479473383438e-4,5.211639697907534e-5,5560,lc,0,50,60,0,1,5
65,male,0.00034122899216064033,2.861119652434616e-4,2.0834224514778874e-4,7.765446514477685e-5,5418,lc,0,50,65,0,1,5
66,male,0.00034122899216064033,2.861119652434616e-4,2.0834224514778874e-4,7.765446514477685e-5,5418,lc,0,50,65,0,1,5
67,male,0.00034122899216064033,2.861119652434616e-4,2.0834224514778874e-4,7.765446514477685e-5,5418,lc,0,50,65,0,1,5
68,male,0.00034122899216064033,2.861119652434616e-4,2.0834224514778874e-4,7.765446514477685e-5,5418,lc,0,50,65,0,1,5
69,male,0.00034122899216064033,2.861119652434616e-4,2.0834224514778874e-4,7.765446514477685e-5,5418,lc,0,50,65,0,1,5
70,male,4.1652692570730494e-4,3.783506017797884e-4,2.8978422032530587e-4,9.995968749349776e-5,4800,lc,0,50,70,0,1,5
71,male,4.1652692570730494e-4,3.783506017797884e-4,2.8978422032530587e-4,9.995968749349776e-5,4800,lc,0,50,70,0,1,5
72,male,4.1652692570730494e-4,3.783506017797884e-4,2.8978422032530587e-4,9.995968749349776e-5,4800,lc,0,50,70,0,1,5
73,male,4.1652692570730494e-4,3.783506017797884e-4,2.8978422032530587e-4,9.995968749349776e-5,4800,lc,0,50,70,0,1,5
74,male,4.1652692570730494e-4,3.783506017797884e-4,2.8978422032530587e-4,9.995968749349776e-5,4800,lc,0,50,70,0,1,5
75,male,4.302773078693235e-4,4.918871175271454e-4,4.061314142981802e-4,1.2355857794021176e-4,3332,lc,0,50,75,0,1,5
76,male,4.302773078693235e-4,4.918871175271454e-4,4.061314142981802e-4,1.2355857794021176e-4,3332,lc,0,50,75,0,1,5
77,male,4.302773078693235e-4,4.918871175271454e-4,4.061314142981802e-4,1.2355857794021176e-4,3332,lc,0,50,75,0,1,5
78,male,4.302773078693235e-4,4.918871175271454e-4,4.061314142981802e-4,1.2355857794021176e-4,3332,lc,0,50,75,0,1,5
79,male,4.302773078693235e-4,4.918871175271454e-4,4.061314142981802e-4,1.2355857794021176e-4,3332,lc,0,50,75,0,1,5
80,male,6.212819487904342e-4,6.542954221233465e-4,5.376403652411312e-4,1.6773878008300477e-4,2291,lc,0,20,80,0,1,5
81,male,6.212819487904342e-4,6.542954221233465e-4,5.376403652411312e-4,1.6773878008300477e-4,2291,lc,0,20,80,0,1,5
82,male,6.212819487904342e-4,6.542954221233465e-4,5.376403652411312e-4,1.6773878008300477e-4,2291,lc,0,20,80,0,1,5
83,male,6.212819487904342e-4,6.542954221233465e-4,5.376403652411312e-4,1.6773878008300477e-4,2291,lc,0,20,80,0,1,5
84,male,6.212819487904342e-4,6.542954221233465e-4,5.376403652411312e-4,1.6773878008300477e-4,2291,lc,0,20,80,0,1,5
85,male,7.493693221768373e-4,9.136147988810251e-4,7.493776132523305e-4,2.277641737264614e-4,1276,lc,0,20,85,0,1,5
86,male,7.493693221768373e-4,9.136147988810251e-4,7.493776132523305e-4,2.277641737264614e-4,1276,lc,0,20,85,0,1,5
87,male,7.493693221768373e-4,9.136147988810251e-4,7.493776132523305e-4,2.277641737264614e-4,1276,lc,0,20,85,0,1,5
88,male,7.493693221768373e-4,9.136147988810251e-4,7.493776132523305e-4,2.277641737264614e-4,1276,lc,0,20,85,0,1,5
89,male,7.493693221768373e-4,9.136147988810251e-4,7.493776132523305e-4,2.277641737264614e-4,1276,lc,0,20,85,0,1,5
90,male,5.49885595578482e-4,8.932484722832441e-4,7.324024878518786e-4,2.149560352872691e-4,506,lc,0,10,90,0,0,5
91,male,5.49885595578482e-4,8.932484722832441e-4,7.324024878518786e-4,2.149560352872691e-4,506,lc,0,10,90,0,0,5
92,male,5.49885595578482e-4,8.932484722832441e-4,7.324024878518786e-4,2.149560352872691e-4,506,lc,0,10,90,0,0,5
93,male,5.49885595578482e-4,8.932484722832441e-4,7.324024878518786e-4,2.149560352872691e-4,506,lc,0,10,90,0,0,5
94,male,5.49885595578482e-4,8.932484722832441e-4,7.324024878518786e-4,2.149560352872691e-4,506,lc,0,10,90,0,0,5
95,male,5.1399906553174096e-5,9.258230806942278e-4,7.592346253514826e-4,1.8622075341081766e-4,91,lc,0,10,95,0,0,6
96,male,5.1399906553174096e-5,9.258230806942278e-4,7.592346253514826e-4,1.8622075341081766e-4,91,lc,0,10,95,0,0,6
97,male,5.1399906553174096e-5,9.258230806942278e-4,7.592346253514826e-4,1.8622075341081766e-4,91,lc,0,10,95,0,0,6
98,male,5.1399906553174096e-5,9.258230806942278e-4,7.592346253514826e-4,1.8622075341081766e-4,91,lc,0,10,95,0,0,6
99,male,5.1399906553174096e-5,9.258230806942278e-4,7.592346253514826e-4,1.8622075341081766e-4,91,lc,0,10,95,0,0,6
100,male,5.1399906553174096e-5,9.258230806942278e-4,7.592346253514826e-4,1.8622075341081766e-4,91,lc,0,10,95,0,0,6
