age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_strk,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
33,male,1.1266770128415463e-5,1.5656623911234236e-4,0.0017227517793084038,2.8344014730206533e-4,8448,Strk,0,50,30,0,0,5,male_Strk
34,male,1.1266770128415463e-5,1.5656623911234236e-4,0.0017227517793084038,2.8344014730206533e-4,8448,Strk,0,50,30,0,0,5,male_Strk
35,male,2.1363206204617812e-5,2.7728180995468404e-4,0.0030717997186115024,3.9698778178383506e-4,7997,Strk,0,50,35,0,0,5,male_Strk
36,male,2.1363206204617812e-5,2.7728180995468404e-4,0.0030717997186115024,3.9698778178383506e-4,7997,Strk,0,50,35,0,0,5,male_Strk
37,male,2.1363206204617812e-5,2.7728180995468404e-4,0.0030717997186115024,3.9698778178383506e-4,7997,Strk,0,50,35,0,0,5,male_Strk
38,male,2.1363206204617812e-5,2.7728180995468404e-4,0.0030717997186115024,3.9698778178383506e-4,7997,Strk,0,50,35,0,0,5,male_Strk
39,male,2.1363206204617812e-5,2.7728180995468404e-4,0.0030717997186115024,3.9698778178383506e-4,7997,Strk,0,50,35,0,0,5,male_Strk
40,male,4.6509037354236774e-5,5.273160934463552e-4,0.0049033582051196505,6.113891528513472e-4,7179,Strk,0,50,40,0,0,5,male_Strk
41,male,4.6509037354236774e-5,5.273160934463552e-4,0.0049033582051196505,6.113891528513472e-4,7179,Strk,0,50,40,0,0,5,male_Strk
42,male,4.6509037354236774e-5,5.273160934463552e-4,0.0049033582051196505,6.113891528513472e-4,7179,Strk,0,50,40,0,0,5,male_Strk
43,male,4.6509037354236774e-5,5.273160934463552e-4,0.0049033582051196505,6.113891528513472e-4,7179,Strk,0,50,40,0,0,5,male_Strk
44,male,4.6509037354236774e-5,5.273160934463552e-4,0.0049033582051196505,6.113891528513472e-4,7179,Strk,0,50,40,0,0,5,male_Strk
45,male,7.513118071518416e-5,9.070502460905263e-4,0.008076401234550803,9.78344626960924e-4,7628,Strk,0,50,45,0,1,5,male_Strk
46,male,7.513118071518416e-5,9.070502460905263e-4,0.008076401234550803,9.78344626960924e-4,7628,Strk,0,50,45,0,1,5,male_Strk
47,male,7.513118071518416e-5,9.070502460905263e-4,0.008076401234550803,9.78344626960924e-4,7628,Strk,0,50,45,0,1,5,male_Strk
48,male,7.513118071518416e-5,9.070502460905263e-4,0.008076401234550803,9.78344626960924e-4,7628,Strk,0,50,45,0,1,5,male_Strk
49,male,7.513118071518416e-5,9.070502460905263e-4,0.008076401234550803,9.78344626960924e-4,7628,Strk,0,50,45,0,1,5,male_Strk
50,male,1.1215301614986108e-4,0.0014721873292545449,0.012620921636405456,0.0015242641146499748,7605,Strk,0,50,50,1,1,5,male_Strk
51,male,1.1215301614986108e-4,0.0014721873292545449,0.012620921636405456,0.0015242641146499748,7605,Strk,0,50,50,1,1,5,male_Strk
52,male,1.1215301614986108e-4,0.0014721873292545449,0.012620921636405456,0.0015242641146499748,7605,Strk,0,50,50,1,1,5,male_Strk
53,male,1.1215301614986108e-4,0.0014721873292545449,0.012620921636405456,0.0015242641146499748,7605,Strk,0,50,50,1,1,5,male_Strk
54,male,1.1215301614986108e-4,0.0014721873292545449,0.012620921636405456,0.0015242641146499748,7605,Strk,0,50,50,1,1,5,male_Strk
55,male,1.6559976583850936e-4,0.002221941313147304,0.018895621966459938,0.0023295436283401636,6479,Strk,0,50,55,1,1,5,male_Strk
56,male,1.6559976583850936e-4,0.002221941313147304,0.018895621966459938,0.0023295436283401636,6479,Strk,0,50,55,1,1,5,male_Strk
57,male,1.6559976583850936e-4,0.002221941313147304,0.018895621966459938,0.0023295436283401636,6479,Strk,0,50,55,1,1,5,male_Strk
58,male,1.6559976583850936e-4,0.002221941313147304,0.018895621966459938,0.0023295436283401636,6479,Strk,0,50,55,1,1,5,male_Strk
59,male,1.6559976583850936e-4,0.002221941313147304,0.018895621966459938,0.0023295436283401636,6479,Strk,0,50,55,1,1,5,male_Strk
60,male,2.899981774099626e-4,0.00288035788737963,0.026682914089161684,0.0033049057439427394,5560,Strk,0,50,60,1,2,5,male_Strk
61,male,2.899981774099626e-4,0.00288035788737963,0.026682914089161684,0.0033049057439427394,5560,Strk,0,50,60,1,2,5,male_Strk
62,male,2.899981774099626e-4,0.00288035788737963,0.026682914089161684,0.0033049057439427394,5560,Strk,0,50,60,1,2,5,male_Strk
63,male,2.899981774099626e-4,0.00288035788737963,0.026682914089161684,0.0033049057439427394,5560,Strk,0,50,60,1,2,5,male_Strk
64,male,2.899981774099626e-4,0.00288035788737963,0.026682914089161684,0.0033049057439427394,5560,Strk,0,50,60,1,2,5,male_Strk
65,male,5.077540104578741e-4,0.003448197496623339,0.035787202754928714,0.004478204855798116,5418,Strk,0,50,65,2,3,5,male_Strk
66,male,5.077540104578741e-4,0.003448197496623339,0.035787202754928714,0.004478204855798116,5418,Strk,0,50,65,2,3,5,male_Strk
67,male,5.077540104578741e-4,0.003448197496623339,0.035787202754928714,0.004478204855798116,5418,Strk,0,50,65,2,3,5,male_Strk
