age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_ishd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
75,female,0.0029055160352095665,0.015559356085952937,0.11971942365102506,0.003485271180439234,3792,Ishd,0,50,75,6,11,5,female_Ishd
76,female,0.0029055160352095665,0.015559356085952937,0.11971942365102506,0.003485271180439234,3792,Ishd,0,50,75,6,11,5,female_Ishd
77,female,0.0029055160352095665,0.015559356085952937,0.11971942365102506,0.003485271180439234,3792,Ishd,0,50,75,6,11,5,female_Ishd
78,female,0.0029055160352095665,0.015559356085952937,0.11971942365102506,0.003485271180439234,3792,Ishd,0,50,75,6,11,5,female_Ishd
79,female,0.0029055160352095665,0.015559356085952937,0.11971942365102506,0.003485271180439234,3792,Ishd,0,50,75,6,11,5,female_Ishd
80,female,0.006135041338802734,0.022293223804169753,0.15088112685664104,0.0043850196481172365,2983,Ishd,0,20,80,3,18,5,female_Ishd
81,female,0.006135041338802734,0.022293223804169753,0.15088112685664104,0.0043850196481172365,2983,Ishd,0,20,80,3,18,5,female_Ishd
82,female,0.006135041338802734,0.022293223804169753,0.15088112685664104,0.0043850196481172365,2983,Ishd,0,20,80,3,18,5,female_Ishd
83,female,0.006135041338802734,0.022293223804169753,0.15088112685664104,0.0043850196481172365,2983,Ishd,0,20,80,3,18,5,female_Ishd
84,female,0.006135041338802734,0.022293223804169753,0.15088112685664104,0.0043850196481172365,2983,Ishd,0,20,80,3,18,5,female_Ishd
85,female,0.01424438270204668,0.02992867264511841,0.16794431345291208,0.005035516415406191,2001,Ishd,0,20,85,3,28,5,female_Ishd
86,female,0.01424438270204668,0.02992867264511841,0.16794431345291208,0.005035516415406191,2001,Ishd,0,20,85,3,28,5,female_Ishd
87,female,0.01424438270204668,0.02992867264511841,0.16794431345291208,0.005035516415406191,2001,Ishd,0,20,85,3,28,5,female_Ishd
88,female,0.01424438270204668,0.02992867264511841,0.16794431345291208,0.005035516415406191,2001,Ishd,0,20,85,3,28,5,female_Ishd
89,female,0.01424438270204668,0.02992867264511841,0.16794431345291208,0.005035516415406191,2001,Ishd,0,20,85,3,28,5,female_Ishd
90,female,0.02471166198601464,0.035491796004632654,0.1527674544016006,0.004961897355366513,1019,Ishd,0,10,90,2,25,5,female_Ishd
91,female,0.02471166198601464,0.035491796004632654,0.1527674544016006,0.004961897355366513,1019,Ishd,0,10,90,2,25,5,female_Ishd
92,female,0.02471166198601464,0.035491796004632654,0.1527674544016006,0.004961897355366513,1019,Ishd,0,10,90,2,25,5,female_Ishd
93,female,0.02471166198601464,0.035491796004632654,0.1527674544016006,0.004961897355366513,1019,Ishd,0,10,90,2,25,5,female_Ishd
94,female,0.02471166198601464,0.035491796004632654,0.1527674544016006,0.004961897355366513,1019,Ishd,0,10,90,2,25,5,female_Ishd
95,female,0.045128967370159215,0.038971516749213064,0.09223128572470027,0.004165200596599693,275,Ishd,0,10,95,1,12,6,female_Ishd
96,female,0.045128967370159215,0.038971516749213064,0.09223128572470027,0.004165200596599693,275,Ishd,0,10,95,1,12,6,female_Ishd
97,female,0.045128967370159215,0.038971516749213064,0.09223128572470027,0.004165200596599693,275,Ishd,0,10,95,1,12,6,female_Ishd
98,female,0.045128967370159215,0.038971516749213064,0.09223128572470027,0.004165200596599693,275,Ishd,0,10,95,1,12,6,female_Ishd
99,female,0.045128967370159215,0.038971516749213064,0.09223128572470027,0.004165200596599693,275,Ishd,0,10,95,1,12,6,female_Ishd
100,female,0.045128967370159215,0.038971516749213064,0.09223128572470027,0.004165200596599693,275,Ishd,0,10,95,1,12,6,female_Ishd
