age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_carc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
66,female,4.449243382098171e-4,0.001571792008215185,0.010430718212649341,8.688122880657211e-4,5670,Carc,0,50,65,1,3,5,female_Carc
67,female,4.449243382098171e-4,0.001571792008215185,0.010430718212649341,8.688122880657211e-4,5670,Carc,0,50,65,1,3,5,female_Carc
68,female,4.449243382098171e-4,0.001571792008215185,0.010430718212649341,8.688122880657211e-4,5670,Carc,0,50,65,1,3,5,female_Carc
69,female,4.449243382098171e-4,0.001571792008215185,0.010430718212649341,8.688122880657211e-4,5670,Carc,0,50,65,1,3,5,female_Carc
70,female,6.72088526717424e-4,0.00213201903227004,0.013569816396257798,0.0011532622146382787,5104,Carc,0,50,70,1,3,5,female_Carc
71,female,6.72088526717424e-4,0.00213201903227004,0.013569816396257798,0.0011532622146382787,5104,Carc,0,50,70,1,3,5,female_Carc
72,female,6.72088526717424e-4,0.00213201903227004,0.013569816396257798,0.0011532622146382787,5104,Carc,0,50,70,1,3,5,female_Carc
73,female,6.72088526717424e-4,0.00213201903227004,0.013569816396257798,0.0011532622146382787,5104,Carc,0,50,70,1,3,5,female_Carc
74,female,6.72088526717424e-4,0.00213201903227004,0.013569816396257798,0.0011532622146382787,5104,Carc,0,50,70,1,3,5,female_Carc
75,female,0.0010985278204303011,0.0030747248897540175,0.018194253889947134,0.001610619056025499,3792,Carc,0,50,75,1,4,5,female_Carc
76,female,0.0010985278204303011,0.0030747248897540175,0.018194253889947134,0.001610619056025499,3792,Carc,0,50,75,1,4,5,female_Carc
77,female,0.0010985278204303011,0.0030747248897540175,0.018194253889947134,0.001610619056025499,3792,Carc,0,50,75,1,4,5,female_Carc
78,female,0.0010985278204303011,0.0030747248897540175,0.018194253889947134,0.001610619056025499,3792,Carc,0,50,75,1,4,5,female_Carc
79,female,0.0010985278204303011,0.0030747248897540175,0.018194253889947134,0.001610619056025499,3792,Carc,0,50,75,1,4,5,female_Carc
80,female,0.0018675882167333562,0.003677328801668631,0.017205935142358356,0.0017088367955438628,2983,Carc,0,20,80,0,6,5,female_Carc
81,female,0.0018675882167333562,0.003677328801668631,0.017205935142358356,0.0017088367955438628,2983,Carc,0,20,80,0,6,5,female_Carc
82,female,0.0018675882167333562,0.003677328801668631,0.017205935142358356,0.0017088367955438628,2983,Carc,0,20,80,0,6,5,female_Carc
83,female,0.0018675882167333562,0.003677328801668631,0.017205935142358356,0.0017088367955438628,2983,Carc,0,20,80,0,6,5,female_Carc
84,female,0.0018675882167333562,0.003677328801668631,0.017205935142358356,0.0017088367955438628,2983,Carc,0,20,80,0,6,5,female_Carc
85,female,0.003127617208994279,0.006159344091048916,0.024777368857221153,0.002719961166185047,2001,Carc,0,20,85,0,6,5,female_Carc
86,female,0.003127617208994279,0.006159344091048916,0.024777368857221153,0.002719961166185047,2001,Carc,0,20,85,0,6,5,female_Carc
87,female,0.003127617208994279,0.006159344091048916,0.024777368857221153,0.002719961166185047,2001,Carc,0,20,85,0,6,5,female_Carc
88,female,0.003127617208994279,0.006159344091048916,0.024777368857221153,0.002719961166185047,2001,Carc,0,20,85,0,6,5,female_Carc
89,female,0.003127617208994279,0.006159344091048916,0.024777368857221153,0.002719961166185047,2001,Carc,0,20,85,0,6,5,female_Carc
90,female,0.004392909953736841,0.008636148188329133,0.028034288695227522,0.0035242021852822463,1019,Carc,0,10,90,0,4,5,female_Carc
91,female,0.004392909953736841,0.008636148188329133,0.028034288695227522,0.0035242021852822463,1019,Carc,0,10,90,0,4,5,female_Carc
92,female,0.004392909953736841,0.008636148188329133,0.028034288695227522,0.0035242021852822463,1019,Carc,0,10,90,0,4,5,female_Carc
93,female,0.004392909953736841,0.008636148188329133,0.028034288695227522,0.0035242021852822463,1019,Carc,0,10,90,0,4,5,female_Carc
94,female,0.004392909953736841,0.008636148188329133,0.028034288695227522,0.0035242021852822463,1019,Carc,0,10,90,0,4,5,female_Carc
95,female,0.005838811474813532,0.011462373954275606,0.012256307166713828,0.002739356694522492,275,Carc,0,10,95,0,2,6,female_Carc
96,female,0.005838811474813532,0.011462373954275606,0.012256307166713828,0.002739356694522492,275,Carc,0,10,95,0,2,6,female_Carc
97,female,0.005838811474813532,0.011462373954275606,0.012256307166713828,0.002739356694522492,275,Carc,0,10,95,0,2,6,female_Carc
98,female,0.005838811474813532,0.011462373954275606,0.012256307166713828,0.002739356694522492,275,Carc,0,10,95,0,2,6,female_Carc
99,female,0.005838811474813532,0.011462373954275606,0.012256307166713828,0.002739356694522492,275,Carc,0,10,95,0,2,6,female_Carc
100,female,0.005838811474813532,0.011462373954275606,0.012256307166713828,0.002739356694522492,275,Carc,0,10,95,0,2,6,female_Carc
