age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_adaod,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
73,male,6.349082162155776e-4,0.004585235712115989,0.024034644593562138,0.0033042389133301382,4800,Adaod,0,50,70,1,3,5,male_Adaod
74,male,6.349082162155776e-4,0.004585235712115989,0.024034644593562138,0.0033042389133301382,4800,Adaod,0,50,70,1,3,5,male_Adaod
75,male,0.0020844808163092772,0.010298003218264462,0.053496626727738056,0.007223164353607246,3332,Adaod,0,50,75,3,7,5,male_Adaod
76,male,0.0020844808163092772,0.010298003218264462,0.053496626727738056,0.007223164353607246,3332,Adaod,0,50,75,3,7,5,male_Adaod
77,male,0.0020844808163092772,0.010298003218264462,0.053496626727738056,0.007223164353607246,3332,Adaod,0,50,75,3,7,5,male_Adaod
78,male,0.0020844808163092772,0.010298003218264462,0.053496626727738056,0.007223164353607246,3332,Adaod,0,50,75,3,7,5,male_Adaod
79,male,0.0020844808163092772,0.010298003218264462,0.053496626727738056,0.007223164353607246,3332,Adaod,0,50,75,3,7,5,male_Adaod
80,male,0.006127321402290858,0.018438089667986084,0.10724268939440336,0.017552174025792094,2291,Adaod,0,20,80,2,14,5,male_Adaod
81,male,0.006127321402290858,0.018438089667986084,0.10724268939440336,0.017552174025792094,2291,Adaod,0,20,80,2,14,5,male_Adaod
82,male,0.006127321402290858,0.018438089667986084,0.10724268939440336,0.017552174025792094,2291,Adaod,0,20,80,2,14,5,male_Adaod
83,male,0.006127321402290858,0.018438089667986084,0.10724268939440336,0.017552174025792094,2291,Adaod,0,20,80,2,14,5,male_Adaod
84,male,0.006127321402290858,0.018438089667986084,0.10724268939440336,0.017552174025792094,2291,Adaod,0,20,80,2,14,5,male_Adaod
85,male,0.016830791811822992,0.02721435049309285,0.18100076969429144,0.02882623414587006,1276,Adaod,0,20,85,4,21,5,male_Adaod
86,male,0.016830791811822992,0.02721435049309285,0.18100076969429144,0.02882623414587006,1276,Adaod,0,20,85,4,21,5,male_Adaod
87,male,0.016830791811822992,0.02721435049309285,0.18100076969429144,0.02882623414587006,1276,Adaod,0,20,85,4,21,5,male_Adaod
88,male,0.016830791811822992,0.02721435049309285,0.18100076969429144,0.02882623414587006,1276,Adaod,0,20,85,4,21,5,male_Adaod
89,male,0.016830791811822992,0.02721435049309285,0.18100076969429144,0.02882623414587006,1276,Adaod,0,20,85,4,21,5,male_Adaod
90,male,0.03538792042620923,0.03590699647755145,0.2525959936063942,0.03938933737841731,506,Adaod,0,10,90,3,18,5,male_Adaod
91,male,0.03538792042620923,0.03590699647755145,0.2525959936063942,0.03938933737841731,506,Adaod,0,10,90,3,18,5,male_Adaod
92,male,0.03538792042620923,0.03590699647755145,0.2525959936063942,0.03938933737841731,506,Adaod,0,10,90,3,18,5,male_Adaod
93,male,0.03538792042620923,0.03590699647755145,0.2525959936063942,0.03938933737841731,506,Adaod,0,10,90,3,18,5,male_Adaod
94,male,0.03538792042620923,0.03590699647755145,0.2525959936063942,0.03938933737841731,506,Adaod,0,10,90,3,18,5,male_Adaod
95,male,0.05694873510258089,0.043512763361432213,0.3003374555106529,0.04629839378271554,91,Adaod,0,10,95,3,5,6,male_Adaod
96,male,0.05694873510258089,0.043512763361432213,0.3003374555106529,0.04629839378271554,91,Adaod,0,10,95,3,5,6,male_Adaod
97,male,0.05694873510258089,0.043512763361432213,0.3003374555106529,0.04629839378271554,91,Adaod,0,10,95,3,5,6,male_Adaod
98,male,0.05694873510258089,0.043512763361432213,0.3003374555106529,0.04629839378271554,91,Adaod,0,10,95,3,5,6,male_Adaod
99,male,0.05694873510258089,0.043512763361432213,0.3003374555106529,0.04629839378271554,91,Adaod,0,10,95,3,5,6,male_Adaod
100,male,0.05694873510258089,0.043512763361432213,0.3003374555106529,0.04629839378271554,91,Adaod,0,10,95,3,5,6,male_Adaod
