age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_stmc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
68,male,2.617045070504506e-4,5.564527060458911e-4,0.0018867153626876648,1.8625137714960567e-4,5418,Stmc,0,50,65,0,1,5,male_Stmc
69,male,2.617045070504506e-4,5.564527060458911e-4,0.0018867153626876648,1.8625137714960567e-4,5418,Stmc,0,50,65,0,1,5,male_Stmc
70,male,4.215697717454563e-4,8.628437083132559e-4,0.0027398425909799418,2.7829712097409814e-4,4800,Stmc,0,50,70,0,2,5,male_Stmc
71,male,4.215697717454563e-4,8.628437083132559e-4,0.0027398425909799418,2.7829712097409814e-4,4800,Stmc,0,50,70,0,2,5,male_Stmc
72,male,4.215697717454563e-4,8.628437083132559e-4,0.0027398425909799418,2.7829712097409814e-4,4800,Stmc,0,50,70,0,2,5,male_Stmc
73,male,4.215697717454563e-4,8.628437083132559e-4,0.0027398425909799418,2.7829712097409814e-4,4800,Stmc,0,50,70,0,2,5,male_Stmc
74,male,4.215697717454563e-4,8.628437083132559e-4,0.0027398425909799418,2.7829712097409814e-4,4800,Stmc,0,50,70,0,2,5,male_Stmc
75,male,7.261363549915689e-4,0.0013266807453847867,0.0037208922833493314,3.9926177060346785e-4,3332,Stmc,0,50,75,0,2,5,male_Stmc
76,male,7.261363549915689e-4,0.0013266807453847867,0.0037208922833493314,3.9926177060346785e-4,3332,Stmc,0,50,75,0,2,5,male_Stmc
77,male,7.261363549915689e-4,0.0013266807453847867,0.0037208922833493314,3.9926177060346785e-4,3332,Stmc,0,50,75,0,2,5,male_Stmc
78,male,7.261363549915689e-4,0.0013266807453847867,0.0037208922833493314,3.9926177060346785e-4,3332,Stmc,0,50,75,0,2,5,male_Stmc
79,male,7.261363549915689e-4,0.0013266807453847867,0.0037208922833493314,3.9926177060346785e-4,3332,Stmc,0,50,75,0,2,5,male_Stmc
80,male,0.0011857894547949387,0.0018214068333725051,0.004220349916246784,4.904982110582192e-4,2291,Stmc,0,20,80,0,3,5,male_Stmc
81,male,0.0011857894547949387,0.0018214068333725051,0.004220349916246784,4.904982110582192e-4,2291,Stmc,0,20,80,0,3,5,male_Stmc
82,male,0.0011857894547949387,0.0018214068333725051,0.004220349916246784,4.904982110582192e-4,2291,Stmc,0,20,80,0,3,5,male_Stmc
83,male,0.0011857894547949387,0.0018214068333725051,0.004220349916246784,4.904982110582192e-4,2291,Stmc,0,20,80,0,3,5,male_Stmc
84,male,0.0011857894547949387,0.0018214068333725051,0.004220349916246784,4.904982110582192e-4,2291,Stmc,0,20,80,0,3,5,male_Stmc
85,male,0.0019123907187839765,0.0029388350369371624,0.005902052542353604,7.413985554531293e-4,1276,Stmc,0,20,85,0,2,5,male_Stmc
86,male,0.0019123907187839765,0.0029388350369371624,0.005902052542353604,7.413985554531293e-4,1276,Stmc,0,20,85,0,2,5,male_Stmc
87,male,0.0019123907187839765,0.0029388350369371624,0.005902052542353604,7.413985554531293e-4,1276,Stmc,0,20,85,0,2,5,male_Stmc
88,male,0.0019123907187839765,0.0029388350369371624,0.005902052542353604,7.413985554531293e-4,1276,Stmc,0,20,85,0,2,5,male_Stmc
89,male,0.0019123907187839765,0.0029388350369371624,0.005902052542353604,7.413985554531293e-4,1276,Stmc,0,20,85,0,2,5,male_Stmc
90,male,0.0025224113711173565,0.003878579431089549,0.006417844719286906,9.08800035532435e-4,506,Stmc,0,10,90,0,1,5,male_Stmc
91,male,0.0025224113711173565,0.003878579431089549,0.006417844719286906,9.08800035532435e-4,506,Stmc,0,10,90,0,1,5,male_Stmc
92,male,0.0025224113711173565,0.003878579431089549,0.006417844719286906,9.08800035532435e-4,506,Stmc,0,10,90,0,1,5,male_Stmc
93,male,0.0025224113711173565,0.003878579431089549,0.006417844719286906,9.08800035532435e-4,506,Stmc,0,10,90,0,1,5,male_Stmc
94,male,0.0025224113711173565,0.003878579431089549,0.006417844719286906,9.08800035532435e-4,506,Stmc,0,10,90,0,1,5,male_Stmc
95,male,0.0033865692066913336,0.005205469852397505,0.003208505810462599,9.14509221101447e-4,91,Stmc,0,10,95,0,0,6,male_Stmc
96,male,0.0033865692066913336,0.005205469852397505,0.003208505810462599,9.14509221101447e-4,91,Stmc,0,10,95,0,0,6,male_Stmc
97,male,0.0033865692066913336,0.005205469852397505,0.003208505810462599,9.14509221101447e-4,91,Stmc,0,10,95,0,0,6,male_Stmc
98,male,0.0033865692066913336,0.005205469852397505,0.003208505810462599,9.14509221101447e-4,91,Stmc,0,10,95,0,0,6,male_Stmc
99,male,0.0033865692066913336,0.005205469852397505,0.003208505810462599,9.14509221101447e-4,91,Stmc,0,10,95,0,0,6,male_Stmc
100,male,0.0033865692066913336,0.005205469852397505,0.003208505810462599,9.14509221101447e-4,91,Stmc,0,10,95,0,0,6,male_Stmc
