age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_crdd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
50,male,8.326327306269301e-4,0.016678378160907555,0.096227770625524,0.004236733499996459,7605,Crdd,0,50,50,5,6,5,male_Crdd
51,male,8.326327306269301e-4,0.016678378160907555,0.096227770625524,0.004236733499996459,7605,Crdd,0,50,50,5,6,5,male_Crdd
52,male,8.326327306269301e-4,0.016678378160907555,0.096227770625524,0.004236733499996459,7605,Crdd,0,50,50,5,6,5,male_Crdd
53,male,8.326327306269301e-4,0.016678378160907555,0.096227770625524,0.004236733499996459,7605,Crdd,0,50,50,5,6,5,male_Crdd
54,male,8.326327306269301e-4,0.016678378160907555,0.096227770625524,0.004236733499996459,7605,Crdd,0,50,50,5,6,5,male_Crdd
55,male,0.001273470177147691,0.02725109758726346,0.15409568393659645,0.006784809596065722,6479,Crdd,0,50,55,8,8,5,male_Crdd
56,male,0.001273470177147691,0.02725109758726346,0.15409568393659645,0.006784809596065722,6479,Crdd,0,50,55,8,8,5,male_Crdd
57,male,0.001273470177147691,0.02725109758726346,0.15409568393659645,0.006784809596065722,6479,Crdd,0,50,55,8,8,5,male_Crdd
58,male,0.001273470177147691,0.02725109758726346,0.15409568393659645,0.006784809596065722,6479,Crdd,0,50,55,8,8,5,male_Crdd
59,male,0.001273470177147691,0.02725109758726346,0.15409568393659645,0.006784809596065722,6479,Crdd,0,50,55,8,8,5,male_Crdd
60,male,0.0021846666056680604,0.0415444012053338,0.2339570774281169,0.010580975302754043,5560,Crdd,0,50,60,12,12,5,male_Crdd
61,male,0.0021846666056680604,0.0415444012053338,0.2339570774281169,0.010580975302754043,5560,Crdd,0,50,60,12,12,5,male_Crdd
62,male,0.0021846666056680604,0.0415444012053338,0.2339570774281169,0.010580975302754043,5560,Crdd,0,50,60,12,12,5,male_Crdd
63,male,0.0021846666056680604,0.0415444012053338,0.2339570774281169,0.010580975302754043,5560,Crdd,0,50,60,12,12,5,male_Crdd
64,male,0.0021846666056680604,0.0415444012053338,0.2339570774281169,0.010580975302754043,5560,Crdd,0,50,60,12,12,5,male_Crdd
65,male,0.003430645492273548,0.061332739248421045,0.32831944512025607,0.01518565336001264,5418,Crdd,0,50,65,16,19,5,male_Crdd
66,male,0.003430645492273548,0.061332739248421045,0.32831944512025607,0.01518565336001264,5418,Crdd,0,50,65,16,19,5,male_Crdd
67,male,0.003430645492273548,0.061332739248421045,0.32831944512025607,0.01518565336001264,5418,Crdd,0,50,65,16,19,5,male_Crdd
68,male,0.003430645492273548,0.061332739248421045,0.32831944512025607,0.01518565336001264,5418,Crdd,0,50,65,16,19,5,male_Crdd
69,male,0.003430645492273548,0.061332739248421045,0.32831944512025607,0.01518565336001264,5418,Crdd,0,50,65,16,19,5,male_Crdd
70,male,0.0057782346139562775,0.08644667144521585,0.4265162316036568,0.021785479581973688,4800,Crdd,0,50,70,21,28,5,male_Crdd
71,male,0.0057782346139562775,0.08644667144521585,0.4265162316036568,0.021785479581973688,4800,Crdd,0,50,70,21,28,5,male_Crdd
72,male,0.0057782346139562775,0.08644667144521585,0.4265162316036568,0.021785479581973688,4800,Crdd,0,50,70,21,28,5,male_Crdd
73,male,0.0057782346139562775,0.08644667144521585,0.4265162316036568,0.021785479581973688,4800,Crdd,0,50,70,21,28,5,male_Crdd
74,male,0.0057782346139562775,0.08644667144521585,0.4265162316036568,0.021785479581973688,4800,Crdd,0,50,70,21,28,5,male_Crdd
75,male,0.010458268311220402,0.11941224050332842,0.5093803107953481,0.028688877876613682,3332,Crdd,0,50,75,25,35,5,male_Crdd
76,male,0.010458268311220402,0.11941224050332842,0.5093803107953481,0.028688877876613682,3332,Crdd,0,50,75,25,35,5,male_Crdd
77,male,0.010458268311220402,0.11941224050332842,0.5093803107953481,0.028688877876613682,3332,Crdd,0,50,75,25,35,5,male_Crdd
78,male,0.010458268311220402,0.11941224050332842,0.5093803107953481,0.028688877876613682,3332,Crdd,0,50,75,25,35,5,male_Crdd
79,male,0.010458268311220402,0.11941224050332842,0.5093803107953481,0.028688877876613682,3332,Crdd,0,50,75,25,35,5,male_Crdd
80,male,0.020505600896128694,0.15859500668283724,0.5653623281481831,0.03566355813569085,2291,Crdd,0,20,80,11,46,5,male_Crdd
81,male,0.020505600896128694,0.15859500668283724,0.5653623281481831,0.03566355813569085,2291,Crdd,0,20,80,11,46,5,male_Crdd
82,male,0.020505600896128694,0.15859500668283724,0.5653623281481831,0.03566355813569085,2291,Crdd,0,20,80,11,46,5,male_Crdd
83,male,0.020505600896128694,0.15859500668283724,0.5653623281481831,0.03566355813569085,2291,Crdd,0,20,80,11,46,5,male_Crdd
84,male,0.020505600896128694,0.15859500668283724,0.5653623281481831,0.03566355813569085,2291,Crdd,0,20,80,11,46,5,male_Crdd
85,male,0.04241971551544684,0.19759594972939107,0.5852777750009875,0.04052154590541715,1276,Crdd,0,20,85,12,53,5,male_Crdd
86,male,0.04241971551544684,0.19759594972939107,0.5852777750009875,0.04052154590541715,1276,Crdd,0,20,85,12,53,5,male_Crdd
87,male,0.04241971551544684,0.19759594972939107,0.5852777750009875,0.04052154590541715,1276,Crdd,0,20,85,12,53,5,male_Crdd
88,male,0.04241971551544684,0.19759594972939107,0.5852777750009875,0.04052154590541715,1276,Crdd,0,20,85,12,53,5,male_Crdd
89,male,0.04241971551544684,0.19759594972939107,0.5852777750009875,0.04052154590541715,1276,Crdd,0,20,85,12,53,5,male_Crdd
90,male,0.06888991677509418,0.23493128673108143,0.5744051563057365,0.043351867272998015,506,Crdd,0,10,90,6,34,5,male_Crdd
91,male,0.06888991677509418,0.23493128673108143,0.5744051563057365,0.043351867272998015,506,Crdd,0,10,90,6,34,5,male_Crdd
92,male,0.06888991677509418,0.23493128673108143,0.5744051563057365,0.043351867272998015,506,Crdd,0,10,90,6,34,5,male_Crdd
93,male,0.06888991677509418,0.23493128673108143,0.5744051563057365,0.043351867272998015,506,Crdd,0,10,90,6,34,5,male_Crdd
94,male,0.06888991677509418,0.23493128673108143,0.5744051563057365,0.043351867272998015,506,Crdd,0,10,90,6,34,5,male_Crdd
95,male,0.11438333307830652,0.2697310092782183,0.5327053863858633,0.046308137282953465,91,Crdd,0,10,95,5,10,6,male_Crdd
96,male,0.11438333307830652,0.2697310092782183,0.5327053863858633,0.046308137282953465,91,Crdd,0,10,95,5,10,6,male_Crdd
97,male,0.11438333307830652,0.2697310092782183,0.5327053863858633,0.046308137282953465,91,Crdd,0,10,95,5,10,6,male_Crdd
98,male,0.11438333307830652,0.2697310092782183,0.5327053863858633,0.046308137282953465,91,Crdd,0,10,95,5,10,6,male_Crdd
99,male,0.11438333307830652,0.2697310092782183,0.5327053863858633,0.046308137282953465,91,Crdd,0,10,95,5,10,6,male_Crdd
100,male,0.11438333307830652,0.2697310092782183,0.5327053863858633,0.046308137282953465,91,Crdd,0,10,95,5,10,6,male_Crdd
