age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_brsc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
66,male,1.4267378685929791e-5,3.995740275585594e-5,3.447444376010818e-4,3.236085633628209e-5,5418,Brsc,0,50,65,0,0,5,male_Brsc
67,male,1.4267378685929791e-5,3.995740275585594e-5,3.447444376010818e-4,3.236085633628209e-5,5418,Brsc,0,50,65,0,0,5,male_Brsc
68,male,1.4267378685929791e-5,3.995740275585594e-5,3.447444376010818e-4,3.236085633628209e-5,5418,Brsc,0,50,65,0,0,5,male_Brsc
69,male,1.4267378685929791e-5,3.995740275585594e-5,3.447444376010818e-4,3.236085633628209e-5,5418,Brsc,0,50,65,0,0,5,male_Brsc
70,male,2.1682489469727113e-5,5.7896781528868486e-5,4.934589210216221e-4,4.691089370512005e-5,4800,Brsc,0,50,70,0,0,5,male_Brsc
71,male,2.1682489469727113e-5,5.7896781528868486e-5,4.934589210216221e-4,4.691089370512005e-5,4800,Brsc,0,50,70,0,0,5,male_Brsc
72,male,2.1682489469727113e-5,5.7896781528868486e-5,4.934589210216221e-4,4.691089370512005e-5,4800,Brsc,0,50,70,0,0,5,male_Brsc
73,male,2.1682489469727113e-5,5.7896781528868486e-5,4.934589210216221e-4,4.691089370512005e-5,4800,Brsc,0,50,70,0,0,5,male_Brsc
74,male,2.1682489469727113e-5,5.7896781528868486e-5,4.934589210216221e-4,4.691089370512005e-5,4800,Brsc,0,50,70,0,0,5,male_Brsc
75,male,3.201680855803367e-5,7.561191635333329e-5,6.449719437779665e-4,6.165885243528723e-5,3332,Brsc,0,50,75,0,0,5,male_Brsc
76,male,3.201680855803367e-5,7.561191635333329e-5,6.449719437779665e-4,6.165885243528723e-5,3332,Brsc,0,50,75,0,0,5,male_Brsc
77,male,3.201680855803367e-5,7.561191635333329e-5,6.449719437779665e-4,6.165885243528723e-5,3332,Brsc,0,50,75,0,0,5,male_Brsc
78,male,3.201680855803367e-5,7.561191635333329e-5,6.449719437779665e-4,6.165885243528723e-5,3332,Brsc,0,50,75,0,0,5,male_Brsc
79,male,3.201680855803367e-5,7.561191635333329e-5,6.449719437779665e-4,6.165885243528723e-5,3332,Brsc,0,50,75,0,0,5,male_Brsc
80,male,4.847346660160931e-5,8.181365334784013e-5,6.536243967433498e-4,6.360365583015127e-5,2291,Brsc,0,20,80,0,0,5,male_Brsc
81,male,4.847346660160931e-5,8.181365334784013e-5,6.536243967433498e-4,6.360365583015127e-5,2291,Brsc,0,20,80,0,0,5,male_Brsc
82,male,4.847346660160931e-5,8.181365334784013e-5,6.536243967433498e-4,6.360365583015127e-5,2291,Brsc,0,20,80,0,0,5,male_Brsc
83,male,4.847346660160931e-5,8.181365334784013e-5,6.536243967433498e-4,6.360365583015127e-5,2291,Brsc,0,20,80,0,0,5,male_Brsc
84,male,4.847346660160931e-5,8.181365334784013e-5,6.536243967433498e-4,6.360365583015127e-5,2291,Brsc,0,20,80,0,0,5,male_Brsc
85,male,8.039437897425918e-5,1.3579170959474246e-4,9.179448352139426e-4,9.085733095327572e-5,1276,Brsc,0,20,85,0,0,5,male_Brsc
86,male,8.039437897425918e-5,1.3579170959474246e-4,9.179448352139426e-4,9.085733095327572e-5,1276,Brsc,0,20,85,0,0,5,male_Brsc
87,male,8.039437897425918e-5,1.3579170959474246e-4,9.179448352139426e-4,9.085733095327572e-5,1276,Brsc,0,20,85,0,0,5,male_Brsc
88,male,8.039437897425918e-5,1.3579170959474246e-4,9.179448352139426e-4,9.085733095327572e-5,1276,Brsc,0,20,85,0,0,5,male_Brsc
89,male,8.039437897425918e-5,1.3579170959474246e-4,9.179448352139426e-4,9.085733095327572e-5,1276,Brsc,0,20,85,0,0,5,male_Brsc
90,male,1.249711795679666e-4,2.1119327880167937e-4,0.0011650224312076932,1.3035836007112622e-4,506,Brsc,0,10,90,0,0,5,male_Brsc
91,male,1.249711795679666e-4,2.1119327880167937e-4,0.0011650224312076932,1.3035836007112622e-4,506,Brsc,0,10,90,0,0,5,male_Brsc
92,male,1.249711795679666e-4,2.1119327880167937e-4,0.0011650224312076932,1.3035836007112622e-4,506,Brsc,0,10,90,0,0,5,male_Brsc
93,male,1.249711795679666e-4,2.1119327880167937e-4,0.0011650224312076932,1.3035836007112622e-4,506,Brsc,0,10,90,0,0,5,male_Brsc
94,male,1.249711795679666e-4,2.1119327880167937e-4,0.0011650224312076932,1.3035836007112622e-4,506,Brsc,0,10,90,0,0,5,male_Brsc
95,male,2.04278439316279e-4,3.4506520421514504e-4,9.290181802193633e-4,1.072986772704158e-4,91,Brsc,0,10,95,0,0,6,male_Brsc
96,male,2.04278439316279e-4,3.4506520421514504e-4,9.290181802193633e-4,1.072986772704158e-4,91,Brsc,0,10,95,0,0,6,male_Brsc
97,male,2.04278439316279e-4,3.4506520421514504e-4,9.290181802193633e-4,1.072986772704158e-4,91,Brsc,0,10,95,0,0,6,male_Brsc
98,male,2.04278439316279e-4,3.4506520421514504e-4,9.290181802193633e-4,1.072986772704158e-4,91,Brsc,0,10,95,0,0,6,male_Brsc
99,male,2.04278439316279e-4,3.4506520421514504e-4,9.290181802193633e-4,1.072986772704158e-4,91,Brsc,0,10,95,0,0,6,male_Brsc
100,male,2.04278439316279e-4,3.4506520421514504e-4,9.290181802193633e-4,1.072986772704158e-4,91,Brsc,0,10,95,0,0,6,male_Brsc
