age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_brsc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
27,female,7.5395300465888864e-6,1.420857535533856e-4,0.0012569201458410206,1.0750499125569721e-4,8833,Brsc,0,50,25,0,0,5,female_Brsc
28,female,7.5395300465888864e-6,1.420857535533856e-4,0.0012569201458410206,1.0750499125569721e-4,8833,Brsc,0,50,25,0,0,5,female_Brsc
29,female,7.5395300465888864e-6,1.420857535533856e-4,0.0012569201458410206,1.0750499125569721e-4,8833,Brsc,0,50,25,0,0,5,female_Brsc
30,female,2.8418312060225176e-5,3.458723179481124e-4,0.003021512967165446,2.5191001292665876e-4,7963,Brsc,0,50,30,0,0,5,female_Brsc
31,female,2.8418312060225176e-5,3.458723179481124e-4,0.003021512967165446,2.5191001292665876e-4,7963,Brsc,0,50,30,0,0,5,female_Brsc
32,female,2.8418312060225176e-5,3.458723179481124e-4,0.003021512967165446,2.5191001292665876e-4,7963,Brsc,0,50,30,0,0,5,female_Brsc
33,female,2.8418312060225176e-5,3.458723179481124e-4,0.003021512967165446,2.5191001292665876e-4,7963,Brsc,0,50,30,0,0,5,female_Brsc
34,female,2.8418312060225176e-5,3.458723179481124e-4,0.003021512967165446,2.5191001292665876e-4,7963,Brsc,0,50,30,0,0,5,female_Brsc
35,female,7.920919764348564e-5,8.013836287251948e-4,0.007028767009365054,5.712772566589989e-4,7482,Brsc,0,50,35,0,1,5,female_Brsc
36,female,7.920919764348564e-5,8.013836287251948e-4,0.007028767009365054,5.712772566589989e-4,7482,Brsc,0,50,35,0,1,5,female_Brsc
37,female,7.920919764348564e-5,8.013836287251948e-4,0.007028767009365054,5.712772566589989e-4,7482,Brsc,0,50,35,0,1,5,female_Brsc
38,female,7.920919764348564e-5,8.013836287251948e-4,0.007028767009365054,5.712772566589989e-4,7482,Brsc,0,50,35,0,1,5,female_Brsc
39,female,7.920919764348564e-5,8.013836287251948e-4,0.007028767009365054,5.712772566589989e-4,7482,Brsc,0,50,35,0,1,5,female_Brsc
40,female,1.4208567036598152e-4,0.0013678088708060777,0.012155276704709617,9.724542512148805e-4,6901,Brsc,0,50,40,1,1,5,female_Brsc
41,female,1.4208567036598152e-4,0.0013678088708060777,0.012155276704709617,9.724542512148805e-4,6901,Brsc,0,50,40,1,1,5,female_Brsc
42,female,1.4208567036598152e-4,0.0013678088708060777,0.012155276704709617,9.724542512148805e-4,6901,Brsc,0,50,40,1,1,5,female_Brsc
43,female,1.4208567036598152e-4,0.0013678088708060777,0.012155276704709617,9.724542512148805e-4,6901,Brsc,0,50,40,1,1,5,female_Brsc
44,female,1.4208567036598152e-4,0.0013678088708060777,0.012155276704709617,9.724542512148805e-4,6901,Brsc,0,50,40,1,1,5,female_Brsc
45,female,2.635192482212268e-4,0.0022882859360771504,0.0206157552667956,0.0016427038950250204,7531,Brsc,0,50,45,1,2,5,female_Brsc
46,female,2.635192482212268e-4,0.0022882859360771504,0.0206157552667956,0.0016427038950250204,7531,Brsc,0,50,45,1,2,5,female_Brsc
47,female,2.635192482212268e-4,0.0022882859360771504,0.0206157552667956,0.0016427038950250204,7531,Brsc,0,50,45,1,2,5,female_Brsc
48,female,2.635192482212268e-4,0.0022882859360771504,0.0206157552667956,0.0016427038950250204,7531,Brsc,0,50,45,1,2,5,female_Brsc
49,female,2.635192482212268e-4,0.0022882859360771504,0.0206157552667956,0.0016427038950250204,7531,Brsc,0,50,45,1,2,5,female_Brsc
50,female,3.7026062313217885e-4,0.0026356793969884336,0.02436923568515533,0.0019030885309266217,7629,Brsc,0,50,50,1,3,5,female_Brsc
51,female,3.7026062313217885e-4,0.0026356793969884336,0.02436923568515533,0.0019030885309266217,7629,Brsc,0,50,50,1,3,5,female_Brsc
52,female,3.7026062313217885e-4,0.0026356793969884336,0.02436923568515533,0.0019030885309266217,7629,Brsc,0,50,50,1,3,5,female_Brsc
53,female,3.7026062313217885e-4,0.0026356793969884336,0.02436923568515533,0.0019030885309266217,7629,Brsc,0,50,50,1,3,5,female_Brsc
54,female,3.7026062313217885e-4,0.0026356793969884336,0.02436923568515533,0.0019030885309266217,7629,Brsc,0,50,50,1,3,5,female_Brsc
55,female,4.675763102721897e-4,0.0028374543347874743,0.027532998298630523,0.002091744064292527,6580,Brsc,0,50,55,1,3,5,female_Brsc
56,female,4.675763102721897e-4,0.0028374543347874743,0.027532998298630523,0.002091744064292527,6580,Brsc,0,50,55,1,3,5,female_Brsc
57,female,4.675763102721897e-4,0.0028374543347874743,0.027532998298630523,0.002091744064292527,6580,Brsc,0,50,55,1,3,5,female_Brsc
58,female,4.675763102721897e-4,0.0028374543347874743,0.027532998298630523,0.002091744064292527,6580,Brsc,0,50,55,1,3,5,female_Brsc
59,female,4.675763102721897e-4,0.0028374543347874743,0.027532998298630523,0.002091744064292527,6580,Brsc,0,50,55,1,3,5,female_Brsc
60,female,6.081035207768198e-4,0.003582313220815749,0.03542384862601327,0.0026816415007569197,5725,Brsc,0,50,60,2,3,5,female_Brsc
61,female,6.081035207768198e-4,0.003582313220815749,0.03542384862601327,0.0026816415007569197,5725,Brsc,0,50,60,2,3,5,female_Brsc
62,female,6.081035207768198e-4,0.003582313220815749,0.03542384862601327,0.0026816415007569197,5725,Brsc,0,50,60,2,3,5,female_Brsc
63,female,6.081035207768198e-4,0.003582313220815749,0.03542384862601327,0.0026816415007569197,5725,Brsc,0,50,60,2,3,5,female_Brsc
64,female,6.081035207768198e-4,0.003582313220815749,0.03542384862601327,0.0026816415007569197,5725,Brsc,0,50,60,2,3,5,female_Brsc
65,female,7.910375738545037e-4,0.004090824133808578,0.040287629696820954,0.0030419492288200943,5670,Brsc,0,50,65,2,4,5,female_Brsc
66,female,7.910375738545037e-4,0.004090824133808578,0.040287629696820954,0.0030419492288200943,5670,Brsc,0,50,65,2,4,5,female_Brsc
67,female,7.910375738545037e-4,0.004090824133808578,0.040287629696820954,0.0030419492288200943,5670,Brsc,0,50,65,2,4,5,female_Brsc
68,female,7.910375738545037e-4,0.004090824133808578,0.040287629696820954,0.0030419492288200943,5670,Brsc,0,50,65,2,4,5,female_Brsc
69,female,7.910375738545037e-4,0.004090824133808578,0.040287629696820954,0.0030419492288200943,5670,Brsc,0,50,65,2,4,5,female_Brsc
70,female,9.86724652481689e-4,0.0041135802907886826,0.04020022618417122,0.0030408628179707355,5104,Brsc,0,50,70,2,5,5,female_Brsc
71,female,9.86724652481689e-4,0.0041135802907886826,0.04020022618417122,0.0030408628179707355,5104,Brsc,0,50,70,2,5,5,female_Brsc
72,female,9.86724652481689e-4,0.0041135802907886826,0.04020022618417122,0.0030408628179707355,5104,Brsc,0,50,70,2,5,5,female_Brsc
73,female,9.86724652481689e-4,0.0041135802907886826,0.04020022618417122,0.0030408628179707355,5104,Brsc,0,50,70,2,5,5,female_Brsc
74,female,9.86724652481689e-4,0.0041135802907886826,0.04020022618417122,0.0030408628179707355,5104,Brsc,0,50,70,2,5,5,female_Brsc
75,female,0.001406306472136112,0.004799852752812106,0.04453938426969848,0.003509878889284172,3792,Brsc,0,50,75,2,5,5,female_Brsc
76,female,0.001406306472136112,0.004799852752812106,0.04453938426969848,0.003509878889284172,3792,Brsc,0,50,75,2,5,5,female_Brsc
77,female,0.001406306472136112,0.004799852752812106,0.04453938426969848,0.003509878889284172,3792,Brsc,0,50,75,2,5,5,female_Brsc
78,female,0.001406306472136112,0.004799852752812106,0.04453938426969848,0.003509878889284172,3792,Brsc,0,50,75,2,5,5,female_Brsc
79,female,0.001406306472136112,0.004799852752812106,0.04453938426969848,0.003509878889284172,3792,Brsc,0,50,75,2,5,5,female_Brsc
80,female,0.0020024152471368774,0.004704538657426649,0.040228569966749346,0.0032837013672518045,2983,Brsc,0,20,80,1,6,5,female_Brsc
81,female,0.0020024152471368774,0.004704538657426649,0.040228569966749346,0.0032837013672518045,2983,Brsc,0,20,80,1,6,5,female_Brsc
82,female,0.0020024152471368774,0.004704538657426649,0.040228569966749346,0.0032837013672518045,2983,Brsc,0,20,80,1,6,5,female_Brsc
83,female,0.0020024152471368774,0.004704538657426649,0.040228569966749346,0.0032837013672518045,2983,Brsc,0,20,80,1,6,5,female_Brsc
84,female,0.0020024152471368774,0.004704538657426649,0.040228569966749346,0.0032837013672518045,2983,Brsc,0,20,80,1,6,5,female_Brsc
85,female,0.0033556814503044115,0.007883844990719927,0.053877696160862784,0.005153992591872006,2001,Brsc,0,20,85,1,7,5,female_Brsc
86,female,0.0033556814503044115,0.007883844990719927,0.053877696160862784,0.005153992591872006,2001,Brsc,0,20,85,1,7,5,female_Brsc
87,female,0.0033556814503044115,0.007883844990719927,0.053877696160862784,0.005153992591872006,2001,Brsc,0,20,85,1,7,5,female_Brsc
88,female,0.0033556814503044115,0.007883844990719927,0.053877696160862784,0.005153992591872006,2001,Brsc,0,20,85,1,7,5,female_Brsc
89,female,0.0033556814503044115,0.007883844990719927,0.053877696160862784,0.005153992591872006,2001,Brsc,0,20,85,1,7,5,female_Brsc
90,female,0.004592727971446971,0.010776656556098146,0.05946866457462902,0.006565283738369568,1019,Brsc,0,10,90,1,5,5,female_Brsc
91,female,0.004592727971446971,0.010776656556098146,0.05946866457462902,0.006565283738369568,1019,Brsc,0,10,90,1,5,5,female_Brsc
92,female,0.004592727971446971,0.010776656556098146,0.05946866457462902,0.006565283738369568,1019,Brsc,0,10,90,1,5,5,female_Brsc
93,female,0.004592727971446971,0.010776656556098146,0.05946866457462902,0.006565283738369568,1019,Brsc,0,10,90,1,5,5,female_Brsc
94,female,0.004592727971446971,0.010776656556098146,0.05946866457462902,0.006565283738369568,1019,Brsc,0,10,90,1,5,5,female_Brsc
95,female,0.006605818886694428,0.015485125965392765,0.036995005305885384,0.004608012486800566,275,Brsc,0,10,95,0,2,6,female_Brsc
96,female,0.006605818886694428,0.015485125965392765,0.036995005305885384,0.004608012486800566,275,Brsc,0,10,95,0,2,6,female_Brsc
97,female,0.006605818886694428,0.015485125965392765,0.036995005305885384,0.004608012486800566,275,Brsc,0,10,95,0,2,6,female_Brsc
98,female,0.006605818886694428,0.015485125965392765,0.036995005305885384,0.004608012486800566,275,Brsc,0,10,95,0,2,6,female_Brsc
99,female,0.006605818886694428,0.015485125965392765,0.036995005305885384,0.004608012486800566,275,Brsc,0,10,95,0,2,6,female_Brsc
100,female,0.006605818886694428,0.015485125965392765,0.036995005305885384,0.004608012486800566,275,Brsc,0,10,95,0,2,6,female_Brsc
