age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_dmt2,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
46,female,0.0551817290905019,0.0038118572329630717,5.8044805043138576e-6,0.0037245353884808948,7531,dmt2,0,50,45,3,0,5
47,female,0.0551817290905019,0.0038118572329630717,5.8044805043138576e-6,0.0037245353884808948,7531,dmt2,0,50,45,3,0,5
48,female,0.0551817290905019,0.0038118572329630717,5.8044805043138576e-6,0.0037245353884808948,7531,dmt2,0,50,45,3,0,5
49,female,0.0551817290905019,0.0038118572329630717,5.8044805043138576e-6,0.0037245353884808948,7531,dmt2,0,50,45,3,0,5
50,female,0.07503295176200427,0.004525739026042818,8.201523403370317e-6,0.0051030312245358535,7629,dmt2,0,50,50,4,0,5
51,female,0.07503295176200427,0.004525739026042818,8.201523403370317e-6,0.0051030312245358535,7629,dmt2,0,50,50,4,0,5
52,female,0.07503295176200427,0.004525739026042818,8.201523403370317e-6,0.0051030312245358535,7629,dmt2,0,50,50,4,0,5
53,female,0.07503295176200427,0.004525739026042818,8.201523403370317e-6,0.0051030312245358535,7629,dmt2,0,50,50,4,0,5
54,female,0.07503295176200427,0.004525739026042818,8.201523403370317e-6,0.0051030312245358535,7629,dmt2,0,50,50,4,0,5
55,female,0.09473241731704068,0.004210550927449626,1.3682264983903784e-5,0.0063263741241353574,6580,dmt2,0,50,55,5,0,5
56,female,0.09473241731704068,0.004210550927449626,1.3682264983903784e-5,0.0063263741241353574,6580,dmt2,0,50,55,5,0,5
57,female,0.09473241731704068,0.004210550927449626,1.3682264983903784e-5,0.0063263741241353574,6580,dmt2,0,50,55,5,0,5
58,female,0.09473241731704068,0.004210550927449626,1.3682264983903784e-5,0.0063263741241353574,6580,dmt2,0,50,55,5,0,5
59,female,0.09473241731704068,0.004210550927449626,1.3682264983903784e-5,0.0063263741241353574,6580,dmt2,0,50,55,5,0,5
60,female,0.11259962360214704,0.0040590626699299,2.948680923358514e-5,0.0073752960938606605,5725,dmt2,0,50,60,6,0,5
61,female,0.11259962360214704,0.0040590626699299,2.948680923358514e-5,0.0073752960938606605,5725,dmt2,0,50,60,6,0,5
62,female,0.11259962360214704,0.0040590626699299,2.948680923358514e-5,0.0073752960938606605,5725,dmt2,0,50,60,6,0,5
63,female,0.11259962360214704,0.0040590626699299,2.948680923358514e-5,0.0073752960938606605,5725,dmt2,0,50,60,6,0,5
64,female,0.11259962360214704,0.0040590626699299,2.948680923358514e-5,0.0073752960938606605,5725,dmt2,0,50,60,6,0,5
65,female,0.129344707114663,0.004062047793810871,4.965996849501062e-5,0.008283747529123826,5670,dmt2,0,50,65,6,0,5
66,female,0.129344707114663,0.004062047793810871,4.965996849501062e-5,0.008283747529123826,5670,dmt2,0,50,65,6,0,5
67,female,0.129344707114663,0.004062047793810871,4.965996849501062e-5,0.008283747529123826,5670,dmt2,0,50,65,6,0,5
68,female,0.129344707114663,0.004062047793810871,4.965996849501062e-5,0.008283747529123826,5670,dmt2,0,50,65,6,0,5
69,female,0.129344707114663,0.004062047793810871,4.965996849501062e-5,0.008283747529123826,5670,dmt2,0,50,65,6,0,5
70,female,0.15039876923768614,0.0071039033120987504,1.0001777805873345e-4,0.009511696315064704,5104,dmt2,0,50,70,8,1,5
71,female,0.15039876923768614,0.0071039033120987504,1.0001777805873345e-4,0.009511696315064704,5104,dmt2,0,50,70,8,1,5
72,female,0.15039876923768614,0.0071039033120987504,1.0001777805873345e-4,0.009511696315064704,5104,dmt2,0,50,70,8,1,5
73,female,0.15039876923768614,0.0071039033120987504,1.0001777805873345e-4,0.009511696315064704,5104,dmt2,0,50,70,8,1,5
74,female,0.15039876923768614,0.0071039033120987504,1.0001777805873345e-4,0.009511696315064704,5104,dmt2,0,50,70,8,1,5
75,female,0.1947415933727593,0.012605752086510377,2.0258251701356294e-4,0.012274780320637729,3792,dmt2,0,50,75,10,1,5
76,female,0.1947415933727593,0.012605752086510377,2.0258251701356294e-4,0.012274780320637729,3792,dmt2,0,50,75,10,1,5
77,female,0.1947415933727593,0.012605752086510377,2.0258251701356294e-4,0.012274780320637729,3792,dmt2,0,50,75,10,1,5
78,female,0.1947415933727593,0.012605752086510377,2.0258251701356294e-4,0.012274780320637729,3792,dmt2,0,50,75,10,1,5
79,female,0.1947415933727593,0.012605752086510377,2.0258251701356294e-4,0.012274780320637729,3792,dmt2,0,50,75,10,1,5
80,female,0.2521949753054069,0.011002832757464791,4.2254499454696324e-4,0.01574797563912916,2983,dmt2,0,20,80,5,1,5
81,female,0.2521949753054069,0.011002832757464791,4.2254499454696324e-4,0.01574797563912916,2983,dmt2,0,20,80,5,1,5
82,female,0.2521949753054069,0.011002832757464791,4.2254499454696324e-4,0.01574797563912916,2983,dmt2,0,20,80,5,1,5
83,female,0.2521949753054069,0.011002832757464791,4.2254499454696324e-4,0.01574797563912916,2983,dmt2,0,20,80,5,1,5
84,female,0.2521949753054069,0.011002832757464791,4.2254499454696324e-4,0.01574797563912916,2983,dmt2,0,20,80,5,1,5
85,female,0.28088198199527864,0.00402165950563698,8.723386286413361e-4,0.017318678699413982,2001,dmt2,0,20,85,6,2,5
86,female,0.28088198199527864,0.00402165950563698,8.723386286413361e-4,0.017318678699413982,2001,dmt2,0,20,85,6,2,5
87,female,0.28088198199527864,0.00402165950563698,8.723386286413361e-4,0.017318678699413982,2001,dmt2,0,20,85,6,2,5
88,female,0.28088198199527864,0.00402165950563698,8.723386286413361e-4,0.017318678699413982,2001,dmt2,0,20,85,6,2,5
89,female,0.28088198199527864,0.00402165950563698,8.723386286413361e-4,0.017318678699413982,2001,dmt2,0,20,85,6,2,5
90,female,0.28208778447839955,6.354647712656846e-4,0.0014597968208068062,0.01723333291715055,1019,dmt2,0,10,90,3,1,5
91,female,0.28208778447839955,6.354647712656846e-4,0.0014597968208068062,0.01723333291715055,1019,dmt2,0,10,90,3,1,5
92,female,0.28208778447839955,6.354647712656846e-4,0.0014597968208068062,0.01723333291715055,1019,dmt2,0,10,90,3,1,5
93,female,0.28208778447839955,6.354647712656846e-4,0.0014597968208068062,0.01723333291715055,1019,dmt2,0,10,90,3,1,5
94,female,0.28208778447839955,6.354647712656846e-4,0.0014597968208068062,0.01723333291715055,1019,dmt2,0,10,90,3,1,5
95,female,0.27273502627644225,3.7354460841664e-4,0.0025587438910698607,0.016586521061871397,275,dmt2,0,10,95,3,1,6
96,female,0.27273502627644225,3.7354460841664e-4,0.0025587438910698607,0.016586521061871397,275,dmt2,0,10,95,3,1,6
97,female,0.27273502627644225,3.7354460841664e-4,0.0025587438910698607,0.016586521061871397,275,dmt2,0,10,95,3,1,6
98,female,0.27273502627644225,3.7354460841664e-4,0.0025587438910698607,0.016586521061871397,275,dmt2,0,10,95,3,1,6
99,female,0.27273502627644225,3.7354460841664e-4,0.0025587438910698607,0.016586521061871397,275,dmt2,0,10,95,3,1,6
100,female,0.27273502627644225,3.7354460841664e-4,0.0025587438910698607,0.016586521061871397,275,dmt2,0,10,95,3,1,6
