age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_adod,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
30,female,0,1e-8,0,0,7963,adod,0,50,30,0,0,5
31,female,0,1e-8,0,0,7963,adod,0,50,30,0,0,5
32,female,0,1e-8,0,0,7963,adod,0,50,30,0,0,5
33,female,0,1e-8,0,0,7963,adod,0,50,30,0,0,5
34,female,0,1e-8,0,0,7963,adod,0,50,30,0,0,5
35,female,0,1e-8,0,0,7482,adod,0,50,35,0,0,5
36,female,0,1e-8,0,0,7482,adod,0,50,35,0,0,5
37,female,0,1e-8,0,0,7482,adod,0,50,35,0,0,5
38,female,0,1e-8,0,0,7482,adod,0,50,35,0,0,5
39,female,0,1e-8,0,0,7482,adod,0,50,35,0,0,5
40,female,7.311626106086911e-5,4.340644159065131e-5,1.4426366461705858e-6,9.738886188810665e-6,6901,adod,0,50,40,0,0,5
41,female,7.311626106086911e-5,4.340644159065131e-5,1.4426366461705858e-6,9.738886188810665e-6,6901,adod,0,50,40,0,0,5
42,female,7.311626106086911e-5,4.340644159065131e-5,1.4426366461705858e-6,9.738886188810665e-6,6901,adod,0,50,40,0,0,5
43,female,7.311626106086911e-5,4.340644159065131e-5,1.4426366461705858e-6,9.738886188810665e-6,6901,adod,0,50,40,0,0,5
44,female,7.311626106086911e-5,4.340644159065131e-5,1.4426366461705858e-6,9.738886188810665e-6,6901,adod,0,50,40,0,0,5
45,female,4.99336584368363e-4,1.3331982278086033e-4,6.523618941297098e-6,6.456249819463567e-5,7531,adod,0,50,45,0,0,5
46,female,4.99336584368363e-4,1.3331982278086033e-4,6.523618941297098e-6,6.456249819463567e-5,7531,adod,0,50,45,0,0,5
47,female,4.99336584368363e-4,1.3331982278086033e-4,6.523618941297098e-6,6.456249819463567e-5,7531,adod,0,50,45,0,0,5
48,female,4.99336584368363e-4,1.3331982278086033e-4,6.523618941297098e-6,6.456249819463567e-5,7531,adod,0,50,45,0,0,5
49,female,4.99336584368363e-4,1.3331982278086033e-4,6.523618941297098e-6,6.456249819463567e-5,7531,adod,0,50,45,0,0,5
50,female,0.001331028455905362,2.119621030254965e-4,1.50001571551788e-5,1.6508917000772555e-4,7629,adod,0,50,50,0,0,5
51,female,0.001331028455905362,2.119621030254965e-4,1.50001571551788e-5,1.6508917000772555e-4,7629,adod,0,50,50,0,0,5
52,female,0.001331028455905362,2.119621030254965e-4,1.50001571551788e-5,1.6508917000772555e-4,7629,adod,0,50,50,0,0,5
53,female,0.001331028455905362,2.119621030254965e-4,1.50001571551788e-5,1.6508917000772555e-4,7629,adod,0,50,50,0,0,5
54,female,0.001331028455905362,2.119621030254965e-4,1.50001571551788e-5,1.6508917000772555e-4,7629,adod,0,50,50,0,0,5
55,female,0.002647529765608671,3.9302053940340085e-4,3.906078785609856e-5,3.203498148267495e-4,6580,adod,0,50,55,0,0,5
56,female,0.002647529765608671,3.9302053940340085e-4,3.906078785609856e-5,3.203498148267495e-4,6580,adod,0,50,55,0,0,5
57,female,0.002647529765608671,3.9302053940340085e-4,3.906078785609856e-5,3.203498148267495e-4,6580,adod,0,50,55,0,0,5
58,female,0.002647529765608671,3.9302053940340085e-4,3.906078785609856e-5,3.203498148267495e-4,6580,adod,0,50,55,0,0,5
59,female,0.002647529765608671,3.9302053940340085e-4,3.906078785609856e-5,3.203498148267495e-4,6580,adod,0,50,55,0,0,5
60,female,0.0054821132493293664,9.32374288431352e-4,1.1027961850149281e-4,6.572197102386573e-4,5725,adod,0,50,60,0,1,5
61,female,0.0054821132493293664,9.32374288431352e-4,1.1027961850149281e-4,6.572197102386573e-4,5725,adod,0,50,60,0,1,5
62,female,0.0054821132493293664,9.32374288431352e-4,1.1027961850149281e-4,6.572197102386573e-4,5725,adod,0,50,60,0,1,5
63,female,0.0054821132493293664,9.32374288431352e-4,1.1027961850149281e-4,6.572197102386573e-4,5725,adod,0,50,60,0,1,5
64,female,0.0054821132493293664,9.32374288431352e-4,1.1027961850149281e-4,6.572197102386573e-4,5725,adod,0,50,60,0,1,5
65,female,0.011976961764384352,0.0021390600412939434,2.822411243339334e-4,0.0014098448908014078,5670,adod,0,50,65,1,2,5
66,female,0.011976961764384352,0.0021390600412939434,2.822411243339334e-4,0.0014098448908014078,5670,adod,0,50,65,1,2,5
67,female,0.011976961764384352,0.0021390600412939434,2.822411243339334e-4,0.0014098448908014078,5670,adod,0,50,65,1,2,5
68,female,0.011976961764384352,0.0021390600412939434,2.822411243339334e-4,0.0014098448908014078,5670,adod,0,50,65,1,2,5
69,female,0.011976961764384352,0.0021390600412939434,2.822411243339334e-4,0.0014098448908014078,5670,adod,0,50,65,1,2,5
70,female,0.026689269501118364,0.005072887454085608,8.115042016442673e-4,0.003668136103748672,5104,adod,0,50,70,1,4,5
71,female,0.026689269501118364,0.005072887454085608,8.115042016442673e-4,0.003668136103748672,5104,adod,0,50,70,1,4,5
72,female,0.026689269501118364,0.005072887454085608,8.115042016442673e-4,0.003668136103748672,5104,adod,0,50,70,1,4,5
73,female,0.026689269501118364,0.005072887454085608,8.115042016442673e-4,0.003668136103748672,5104,adod,0,50,70,1,4,5
74,female,0.026689269501118364,0.005072887454085608,8.115042016442673e-4,0.003668136103748672,5104,adod,0,50,70,1,4,5
75,female,0.05946052449841671,0.011454157010528156,0.0027318507912952768,0.00802260142334033,3792,adod,0,50,75,3,10,5
76,female,0.05946052449841671,0.011454157010528156,0.0027318507912952768,0.00802260142334033,3792,adod,0,50,75,3,10,5
77,female,0.05946052449841671,0.011454157010528156,0.0027318507912952768,0.00802260142334033,3792,adod,0,50,75,3,10,5
78,female,0.05946052449841671,0.011454157010528156,0.0027318507912952768,0.00802260142334033,3792,adod,0,50,75,3,10,5
79,female,0.05946052449841671,0.011454157010528156,0.0027318507912952768,0.00802260142334033,3792,adod,0,50,75,3,10,5
80,female,0.12013267936164931,0.020773957463085736,0.007838042997279093,0.01967725607811065,2983,adod,0,20,80,2,23,5
81,female,0.12013267936164931,0.020773957463085736,0.007838042997279093,0.01967725607811065,2983,adod,0,20,80,2,23,5
82,female,0.12013267936164931,0.020773957463085736,0.007838042997279093,0.01967725607811065,2983,adod,0,20,80,2,23,5
83,female,0.12013267936164931,0.020773957463085736,0.007838042997279093,0.01967725607811065,2983,adod,0,20,80,2,23,5
84,female,0.12013267936164931,0.020773957463085736,0.007838042997279093,0.01967725607811065,2983,adod,0,20,80,2,23,5
85,female,0.20578230711827766,0.0313428721911114,0.020733873491333113,0.03276490871632199,2001,adod,0,20,85,4,41,5
86,female,0.20578230711827766,0.0313428721911114,0.020733873491333113,0.03276490871632199,2001,adod,0,20,85,4,41,5
87,female,0.20578230711827766,0.0313428721911114,0.020733873491333113,0.03276490871632199,2001,adod,0,20,85,4,41,5
88,female,0.20578230711827766,0.0313428721911114,0.020733873491333113,0.03276490871632199,2001,adod,0,20,85,4,41,5
89,female,0.20578230711827766,0.0313428721911114,0.020733873491333113,0.03276490871632199,2001,adod,0,20,85,4,41,5
90,female,0.2948544746601561,0.041823014545088445,0.046235545098737646,0.04593245551324872,1019,adod,0,10,90,3,46,5
91,female,0.2948544746601561,0.041823014545088445,0.046235545098737646,0.04593245551324872,1019,adod,0,10,90,3,46,5
92,female,0.2948544746601561,0.041823014545088445,0.046235545098737646,0.04593245551324872,1019,adod,0,10,90,3,46,5
93,female,0.2948544746601561,0.041823014545088445,0.046235545098737646,0.04593245551324872,1019,adod,0,10,90,3,46,5
94,female,0.2948544746601561,0.041823014545088445,0.046235545098737646,0.04593245551324872,1019,adod,0,10,90,3,46,5
95,female,0.3608280716613568,0.05002220350816681,0.0849553637643163,0.05526820678711589,275,adod,0,10,95,4,22,6
96,female,0.3608280716613568,0.05002220350816681,0.0849553637643163,0.05526820678711589,275,adod,0,10,95,4,22,6
97,female,0.3608280716613568,0.05002220350816681,0.0849553637643163,0.05526820678711589,275,adod,0,10,95,4,22,6
98,female,0.3608280716613568,0.05002220350816681,0.0849553637643163,0.05526820678711589,275,adod,0,10,95,4,22,6
99,female,0.3608280716613568,0.05002220350816681,0.0849553637643163,0.05526820678711589,275,adod,0,10,95,4,22,6
100,female,0.3608280716613568,0.05002220350816681,0.0849553637643163,0.05526820678711589,275,adod,0,10,95,4,22,6
