age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_lc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
54,female,0,3.6381528515414934e-5,2.2690856560415927e-5,1.0356769622334955e-5,7629,lc,0,50,50,0,0,5
55,female,0,5.761731271904189e-5,3.9399100365903915e-5,1.595321404328472e-5,6580,lc,0,50,55,0,0,5
56,female,0,5.761731271904189e-5,3.9399100365903915e-5,1.595321404328472e-5,6580,lc,0,50,55,0,0,5
57,female,0,5.761731271904189e-5,3.9399100365903915e-5,1.595321404328472e-5,6580,lc,0,50,55,0,0,5
58,female,0,5.761731271904189e-5,3.9399100365903915e-5,1.595321404328472e-5,6580,lc,0,50,55,0,0,5
59,female,0,5.761731271904189e-5,3.9399100365903915e-5,1.595321404328472e-5,6580,lc,0,50,55,0,0,5
60,female,0,8.659119589225165e-5,6.910596327921983e-5,2.2388363111689083e-5,5725,lc,0,50,60,0,0,5
61,female,0,8.659119589225165e-5,6.910596327921983e-5,2.2388363111689083e-5,5725,lc,0,50,60,0,0,5
62,female,0,8.659119589225165e-5,6.910596327921983e-5,2.2388363111689083e-5,5725,lc,0,50,60,0,0,5
63,female,0,8.659119589225165e-5,6.910596327921983e-5,2.2388363111689083e-5,5725,lc,0,50,60,0,0,5
64,female,0,8.659119589225165e-5,6.910596327921983e-5,2.2388363111689083e-5,5725,lc,0,50,60,0,0,5
65,female,0,1.3484184519453469e-4,1.1081050082538265e-4,3.4656535683368094e-5,5670,lc,0,50,65,0,1,5
66,female,0,1.3484184519453469e-4,1.1081050082538265e-4,3.4656535683368094e-5,5670,lc,0,50,65,0,1,5
67,female,0,1.3484184519453469e-4,1.1081050082538265e-4,3.4656535683368094e-5,5670,lc,0,50,65,0,1,5
68,female,0,1.3484184519453469e-4,1.1081050082538265e-4,3.4656535683368094e-5,5670,lc,0,50,65,0,1,5
69,female,0,1.3484184519453469e-4,1.1081050082538265e-4,3.4656535683368094e-5,5670,lc,0,50,65,0,1,5
70,female,3.312004594431094e-5,1.9707397242122923e-4,1.6910956018540666e-4,4.929780024768022e-5,5104,lc,0,50,70,0,1,5
71,female,3.312004594431094e-5,1.9707397242122923e-4,1.6910956018540666e-4,4.929780024768022e-5,5104,lc,0,50,70,0,1,5
72,female,3.312004594431094e-5,1.9707397242122923e-4,1.6910956018540666e-4,4.929780024768022e-5,5104,lc,0,50,70,0,1,5
73,female,3.312004594431094e-5,1.9707397242122923e-4,1.6910956018540666e-4,4.929780024768022e-5,5104,lc,0,50,70,0,1,5
74,female,3.312004594431094e-5,1.9707397242122923e-4,1.6910956018540666e-4,4.929780024768022e-5,5104,lc,0,50,70,0,1,5
75,female,2.0100565673702571e-4,3.234471051195991e-4,2.768498326447752e-4,8.113214280720091e-5,3792,lc,0,50,75,0,1,5
76,female,2.0100565673702571e-4,3.234471051195991e-4,2.768498326447752e-4,8.113214280720091e-5,3792,lc,0,50,75,0,1,5
77,female,2.0100565673702571e-4,3.234471051195991e-4,2.768498326447752e-4,8.113214280720091e-5,3792,lc,0,50,75,0,1,5
78,female,2.0100565673702571e-4,3.234471051195991e-4,2.768498326447752e-4,8.113214280720091e-5,3792,lc,0,50,75,0,1,5
79,female,2.0100565673702571e-4,3.234471051195991e-4,2.768498326447752e-4,8.113214280720091e-5,3792,lc,0,50,75,0,1,5
80,female,3.4300329348858156e-4,4.4912505936660845e-4,3.890304256446477e-4,1.1192529299326425e-4,2983,lc,0,20,80,0,1,5
81,female,3.4300329348858156e-4,4.4912505936660845e-4,3.890304256446477e-4,1.1192529299326425e-4,2983,lc,0,20,80,0,1,5
82,female,3.4300329348858156e-4,4.4912505936660845e-4,3.890304256446477e-4,1.1192529299326425e-4,2983,lc,0,20,80,0,1,5
83,female,3.4300329348858156e-4,4.4912505936660845e-4,3.890304256446477e-4,1.1192529299326425e-4,2983,lc,0,20,80,0,1,5
84,female,3.4300329348858156e-4,4.4912505936660845e-4,3.890304256446477e-4,1.1192529299326425e-4,2983,lc,0,20,80,0,1,5
85,female,4.3726476612942854e-4,6.122289237174715e-4,5.298430605478107e-4,1.4931705078951704e-4,2001,lc,0,20,85,0,1,5
86,female,4.3726476612942854e-4,6.122289237174715e-4,5.298430605478107e-4,1.4931705078951704e-4,2001,lc,0,20,85,0,1,5
87,female,4.3726476612942854e-4,6.122289237174715e-4,5.298430605478107e-4,1.4931705078951704e-4,2001,lc,0,20,85,0,1,5
88,female,4.3726476612942854e-4,6.122289237174715e-4,5.298430605478107e-4,1.4931705078951704e-4,2001,lc,0,20,85,0,1,5
89,female,4.3726476612942854e-4,6.122289237174715e-4,5.298430605478107e-4,1.4931705078951704e-4,2001,lc,0,20,85,0,1,5
90,female,3.777741871107453e-4,6.81481918607809e-4,5.912650068265847e-4,1.581448696638434e-4,1019,lc,0,10,90,0,1,5
91,female,3.777741871107453e-4,6.81481918607809e-4,5.912650068265847e-4,1.581448696638434e-4,1019,lc,0,10,90,0,1,5
92,female,3.777741871107453e-4,6.81481918607809e-4,5.912650068265847e-4,1.581448696638434e-4,1019,lc,0,10,90,0,1,5
93,female,3.777741871107453e-4,6.81481918607809e-4,5.912650068265847e-4,1.581448696638434e-4,1019,lc,0,10,90,0,1,5
94,female,3.777741871107453e-4,6.81481918607809e-4,5.912650068265847e-4,1.581448696638434e-4,1019,lc,0,10,90,0,1,5
95,female,1.3128463186652691e-4,8.1562035248977e-4,7.089973928036701e-4,1.5451021233739805e-4,275,lc,0,10,95,0,0,6
96,female,1.3128463186652691e-4,8.1562035248977e-4,7.089973928036701e-4,1.5451021233739805e-4,275,lc,0,10,95,0,0,6
97,female,1.3128463186652691e-4,8.1562035248977e-4,7.089973928036701e-4,1.5451021233739805e-4,275,lc,0,10,95,0,0,6
98,female,1.3128463186652691e-4,8.1562035248977e-4,7.089973928036701e-4,1.5451021233739805e-4,275,lc,0,10,95,0,0,6
99,female,1.3128463186652691e-4,8.1562035248977e-4,7.089973928036701e-4,1.5451021233739805e-4,275,lc,0,10,95,0,0,6
100,female,1.3128463186652691e-4,8.1562035248977e-4,7.089973928036701e-4,1.5451021233739805e-4,275,lc,0,10,95,0,0,6
